RK,TIERS,PLAYER NAME,TEAM,POS,BYE,UPSIDE ,BUST ,SOS,ECR VS ADP,PLAYER NAME_CLEAN,Matched Name,player_id,full_name,first_name,last_name,position,team,team_abbr,fantasy_positions,active,status,age,height,weight,college,years_exp,injury_status,injury_notes,injury_body_part,practice_description,practice_participation,birth_city,birth_state,birth_country,birth_date,team_changed_at,full_name_clean,is_rookie,is_lottery_ticket,handcuff,is_fantasypros_sleeper,num,player,RK_DIFF
77,7,Rashee Rice,KC,WR37,10,Coach Upside rating,Coach Bust rating,3 out of 5 stars,-8,rashee rice,rashee rice,10229,Rashee Rice,Rashee,Rice,WR,KC,,['WR'],True,Active,25.0,73,204.0,SMU,2.0,Sus,,Suspension,,,,,,2000-04-22,,rashee rice,False,False,,False,83.0,Rashee Rice,-6.0
78,7,Ricky Pearsall,SF,WR38,14,Coach Upside rating,Coach Bust rating,4 out of 5 stars,+7,ricky pearsall,ricky pearsall,11638,Ricky Pearsall,Ricky,Pearsall,WR,SF,,['WR'],True,Active,24.0,73,189.0,Florida,1.0,,,,,,,,,2000-09-09,,ricky pearsall,False,False,,False,101.0,Ricky Pearsall,-23.0
79,7,Jakobi Meyers,LV,WR39,8,Coach Upside rating,Coach Bust rating,4 out of 5 stars,+8,jakobi meyers,jakobi meyers,5947,Jakobi Meyers,Jakobi,Meyers,WR,LV,,['WR'],True,Active,28.0,74,193.0,North Carolina State,6.0,,,,,,,,,1996-11-09,,jakobi meyers,False,False,,False,77.0,Jakobi Meyers,2.0
80,7,Kyler Murray,ARI,QB9,8,Coach Upside rating,Coach Bust rating,4 out of 5 stars,+3,kyler murray,kyler murray,5849,Kyler Murray,Kyler,Murray,QB,ARI,,['QB'],True,Active,28.0,70,207.0,Oklahoma,6.0,,,,,,,,,1997-08-07,,kyler murray,False,False,,False,89.0,Kyler Murray,-9.0
81,7,Tyrone Tracy Jr.,NYG,RB27,14,Coach Upside rating,Coach Bust rating,3 out of 5 stars,-5,tyrone tracy,tyrone tracy,11655,Tyrone Tracy,Tyrone,Tracy,RB,NYG,,['RB'],True,Active,25.0,71,210.0,Purdue,1.0,,,,,,,,,1999-11-23,,tyrone tracy,False,False,Cam Skattebo,False,72.0,Tyrone Tracy Jr.,9.0
82,7,Dak Prescott,DAL,QB10,10,Coach Upside rating,Coach Bust rating,2 out of 5 stars,+12,dak prescott,dak prescott,3294,Dak Prescott,Dak,Prescott,QB,DAL,,['QB'],True,Active,32.0,74,238.0,Mississippi State,9.0,,,,,,,,,1993-07-29,,dak prescott,False,False,,False,105.0,Dak Prescott,-23.0
83,7,Jaylen Warren,PIT,RB28,5,Coach Upside rating,Coach Bust rating,4 out of 5 stars,+1,jaylen warren,jaylen warren,8228,Jaylen Warren,Jaylen,Warren,RB,PIT,,['RB'],True,Active,26.0,68,215.0,Oklahoma State,3.0,,,,,,,,,1998-11-01,,jaylen warren,False,False,Kaleb Johnson,False,84.0,Jaylen Warren,-1.0
84,7,David Njoku,CLE,TE7,9,Coach Upside rating,Coach Bust rating,3 out of 5 stars,-3,david njoku,david njoku,4033,David Njoku,David,Njoku,TE,CLE,,['TE'],True,Active,29.0,76,246.0,Miami (FL),8.0,,,,,,,,,1996-07-10,,david njoku,False,False,,False,87.0,David Njoku,-3.0
85,7,Evan Engram,DEN,TE8,12,Coach Upside rating,Coach Bust rating,3 out of 5 stars,-5,evan engram,evan engram,4066,Evan Engram,Evan,Engram,TE,DEN,,['TE'],True,Active,30.0,75,240.0,Ole Miss,8.0,,,,,,,,,1994-09-02,,evan engram,False,False,,False,88.0,Evan Engram,-3.0
86,7,Mark Andrews,BAL,TE9,7,Coach Upside rating,Coach Bust rating,3 out of 5 stars,-13,mark andrews,mark andrews,5012,Mark Andrews,Mark,Andrews,TE,BAL,,['TE'],True,Active,29.0,77,250.0,Oklahoma,7.0,,,,,,,,,1995-09-06,,mark andrews,False,False,,False,67.0,Mark Andrews,19.0
87,8,Travis Etienne Jr.,JAC,RB29,8,Coach Upside rating,Coach Bust rating,2 out of 5 stars,+5,travis etienne,travis etienne,7543,Travis Etienne,Travis,Etienne,RB,JAX,,['RB'],True,Active,26.0,70,215.0,Clemson,4.0,,,,,,,,,1999-01-26,,travis etienne,False,False,Tank Bigsby,False,115.0,Travis Etienne Jr.,-28.0
88,8,Kaleb Johnson,PIT,RB30,5,Coach Upside rating,Coach Bust rating,4 out of 5 stars,-13,kaleb johnson,kaleb johnson,2967,Kaleb Johnson,Kaleb,Johnson,G,,,['OL'],False,Inactive,27.0,"6'4""",300.0,Rutgers,5.0,,,,,,,,,1993-02-22,,kaleb johnson,False,False,,False,70.0,Kaleb Johnson,18.0
89,8,Khalil Shakir,BUF,WR40,7,Coach Upside rating,Coach Bust rating,3 out of 5 stars,+6,khalil shakir,khalil shakir,8134,Khalil Shakir,Khalil,Shakir,WR,BUF,,['WR'],True,Active,25.0,72,190.0,Boise State,3.0,Questionable,,Foot,,,,,,2000-02-03,,khalil shakir,False,False,,False,97.0,Khalil Shakir,-8.0
90,8,Jordan Addison,MIN,WR41,6,Coach Upside rating,Coach Bust rating,2 out of 5 stars,+1,jordan addison,jordan addison,9756,Jordan Addison,Jordan,Addison,WR,MIN,,['WR'],True,Active,23.0,71,175.0,USC,2.0,Sus,,Suspension,,,,,,2002-01-27,,jordan addison,False,False,,False,96.0,Jordan Addison,-6.0
91,8,Deebo Samuel Sr.,WAS,WR42,12,Coach Upside rating,Coach Bust rating,3 out of 5 stars,-12,deebo samuel,deebo samuel,5872,Deebo Samuel,Deebo,Samuel,WR,WAS,,['WR'],True,Active,29.0,72,215.0,South Carolina,6.0,,,,,,,,,1996-01-15,,deebo samuel,False,False,,False,,,
92,8,Brock Purdy,SF,QB11,14,Coach Upside rating,Coach Bust rating,4 out of 5 stars,+1,brock purdy,brock purdy,8183,Brock Purdy,Brock,Purdy,QB,SF,,['QB'],True,Active,25.0,73,220.0,Iowa State,3.0,,,,,,,,,1999-12-27,,brock purdy,False,False,,False,90.0,Brock Purdy,2.0
93,8,Justin Fields,NYJ,QB12,9,Coach Upside rating,Coach Bust rating,5 out of 5 stars,+19,justin fields,justin fields,7591,Justin Fields,Justin,Fields,QB,NYJ,,['QB'],True,Active,26.0,75,227.0,Ohio State,4.0,,,,,,,,,1999-03-05,,justin fields,False,False,,False,106.0,Justin Fields,-13.0
94,8,Josh Downs,IND,WR43,11,Coach Upside rating,Coach Bust rating,4 out of 5 stars,+28,josh downs,josh downs,9500,Josh Downs,Josh,Downs,WR,IND,,['WR'],True,Active,24.0,69,171.0,North Carolina,2.0,Questionable,,Hamstring,,,,,,2001-08-12,,josh downs,False,False,,False,110.0,Josh Downs,-16.0
95,8,Jauan Jennings,SF,WR44,14,Coach Upside rating,Coach Bust rating,4 out of 5 stars,+10,jauan jennings,jauan jennings,7049,Jauan Jennings,Jauan,Jennings,WR,SF,,['WR'],True,Active,28.0,75,212.0,Tennessee,5.0,Questionable,,Calf,,,,,,1997-07-10,,jauan jennings,False,False,,False,99.0,Jauan Jennings,-4.0
96,8,Michael Pittman Jr.,IND,WR45,11,Coach Upside rating,Coach Bust rating,4 out of 5 stars,+14,michael pittman,michael pittman,6819,Michael Pittman,Michael,Pittman,WR,IND,,['WR'],True,Active,27.0,76,223.0,USC,5.0,,,,,,,,,1997-10-05,,michael pittman,False,False,,False,80.0,Michael Pittman Jr.,16.0
97,8,Zach Charbonnet,SEA,RB31,8,Coach Upside rating,Coach Bust rating,3 out of 5 stars,+11,zach charbonnet,zach charbonnet,9753,Zach Charbonnet,Zach,Charbonnet,RB,SEA,,['RB'],True,Active,24.0,73,214.0,UCLA,2.0,,,,,,,,,2001-01-08,,zach charbonnet,False,False,,True,131.0,Zach Charbonnet,-34.0
98,8,Justin Herbert,LAC,QB13,12,Coach Upside rating,Coach Bust rating,3 out of 5 stars,+11,justin herbert,justin herbert,6797,Justin Herbert,Justin,Herbert,QB,LAC,,['QB'],True,Active,27.0,78,236.0,Oregon,5.0,,,,,,,,,1998-03-10,,justin herbert,False,False,,False,103.0,Justin Herbert,-5.0
99,8,Drake Maye,NE,QB14,14,Coach Upside rating,Coach Bust rating,5 out of 5 stars,+25,drake maye,drake maye,11564,Drake Maye,Drake,Maye,QB,NE,,['QB'],True,Active,23.0,76,225.0,North Carolina,1.0,,,,,,,,,2002-08-30,,drake maye,False,False,,False,121.0,Drake Maye,-22.0
100,8,Matthew Golden,GB,WR46,5,Coach Upside rating,Coach Bust rating,2 out of 5 stars,-10,matthew golden,matthew golden,12501,Matthew Golden,Matthew,Golden,WR,GB,,['WR'],True,Active,22.0,71,191.0,Texas,0.0,,,,,,,,,2003-08-01,,matthew golden,True,False,,False,79.0,Matthew Golden,21.0
101,8,Jordan Mason,MIN,RB32,6,Coach Upside rating,Coach Bust rating,3 out of 5 stars,-2,jordan mason,jordan mason,8408,Jordan Mason,Jordan,Mason,RB,MIN,,['RB'],True,Active,26.0,71,223.0,Georgia Tech,3.0,,,,,,,,,1999-05-24,,jordan mason,False,False,,True,118.0,Jordan Mason,-17.0
102,8,Caleb Williams,CHI,QB15,5,Coach Upside rating,Coach Bust rating,2 out of 5 stars,+16,caleb williams,caleb williams,11560,Caleb Williams,Caleb,Williams,QB,CHI,,['QB'],True,Active,23.0,73,226.0,USC,1.0,,,,,,,,,2001-11-18,,caleb williams,False,False,,False,104.0,Caleb Williams,-2.0
103,8,Tyler Warren,IND,TE10,11,Coach Upside rating,Coach Bust rating,3 out of 5 stars,-14,tyler warren,tyler warren,12518,Tyler Warren,Tyler,Warren,TE,IND,,['TE'],True,Active,23.0,78,256.0,Penn State,0.0,,,,,,,,,2002-05-24,,tyler warren,True,False,,False,113.0,Tyler Warren,-10.0
104,8,Tucker Kraft,GB,TE11,5,Coach Upside rating,Coach Bust rating,2 out of 5 stars,+3,tucker kraft,tucker kraft,9484,Tucker Kraft,Tucker,Kraft,TE,GB,,['TE'],True,Active,24.0,77,259.0,South Dakota State,2.0,,,,,,,,,2000-11-03,,tucker kraft,False,False,,False,126.0,Tucker Kraft,-22.0
105,8,Jared Goff,DET,QB16,8,Coach Upside rating,Coach Bust rating,2 out of 5 stars,-5,jared goff,jared goff,3163,Jared Goff,Jared,Goff,QB,DET,,['QB'],True,Active,30.0,76,217.0,California,9.0,,,,,,,,,1994-10-14,,jared goff,False,False,,False,123.0,Jared Goff,-18.0
106,8,Javonte Williams,DAL,RB33,10,Coach Upside rating,Coach Bust rating,2 out of 5 stars,0,javonte williams,javonte williams,7588,Javonte Williams,Javonte,Williams,RB,DAL,,['RB'],True,Active,25.0,70,220.0,North Carolina,4.0,,,,,,,,,2000-04-25,,javonte williams,False,False,Jaydon Blue,False,95.0,Javonte Williams,11.0
107,8,Cooper Kupp,SEA,WR47,8,Coach Upside rating,Coach Bust rating,3 out of 5 stars,-19,cooper kupp,cooper kupp,4039,Cooper Kupp,Cooper,Kupp,WR,SEA,,['WR'],True,Active,32.0,73,205.0,Eastern Washington,8.0,,,,,,,,,1993-06-15,,cooper kupp,False,False,,False,81.0,Cooper Kupp,26.0
108,8,Chris Godwin Jr.,TB,WR48,9,Coach Upside rating,Coach Bust rating,3 out of 5 stars,-11,chris godwin,chris godwin,4037,Chris Godwin,Chris,Godwin,WR,TB,,['WR'],True,Active,29.0,73,209.0,Penn State,8.0,Doubtful,Surgery,Ankle,,,,,,1996-02-27,,chris godwin,False,False,,False,76.0,Chris Godwin Jr.,32.0
109,8,Jacory Croskey-Merritt,WAS,RB34,12,Coach Upside rating,Coach Bust rating,2 out of 5 stars,-13,jacory croskey-merritt,jacory croskey-merritt,12533,Jacory Croskey-Merritt,Jacory,Croskey-Merritt,RB,WAS,,['RB'],True,Active,24.0,71,208.0,Arizona,0.0,,,,,,,,,2001-04-12,,jacory croskey-merritt,True,True,Austin Ekeler,True,85.0,Jacory Croskey-Merritt,24.0
110,8,Jordan Love,GB,QB17,5,Coach Upside rating,Coach Bust rating,2 out of 5 stars,+24,jordan love,jordan love,6804,Jordan Love,Jordan,Love,QB,GB,,['QB'],True,Active,26.0,76,219.0,Utah State,5.0,,,,,,,,,1998-11-02,,jordan love,False,False,,False,122.0,Jordan Love,-12.0
111,8,Jake Ferguson,DAL,TE12,10,Coach Upside rating,Coach Bust rating,2 out of 5 stars,+24,jake ferguson,jake ferguson,8110,Jake Ferguson,Jake,Ferguson,TE,DAL,,['TE'],True,Active,26.0,77,244.0,Wisconsin,3.0,,,,,,,,,1999-01-18,,jake ferguson,False,False,,False,128.0,Jake Ferguson,-17.0
112,8,J.K. Dobbins,DEN,RB35,12,Coach Upside rating,Coach Bust rating,2 out of 5 stars,-8,j.k. dobbins,j.k. dobbins,6806,J.K. Dobbins,J.K.,Dobbins,RB,DEN,,['RB'],True,Active,26.0,70,212.0,Ohio State,5.0,,,,,,,,,1998-12-17,,j.k. dobbins,False,False,RJ Harvey,False,93.0,J.K. Dobbins,19.0
113,8,Trevor Lawrence,JAC,QB18,8,Coach Upside rating,Coach Bust rating,3 out of 5 stars,+42,trevor lawrence,trevor lawrence,7523,Trevor Lawrence,Trevor,Lawrence,QB,JAX,,['QB'],True,Active,25.0,78,220.0,Clemson,4.0,,,,,,,,,1999-10-06,,trevor lawrence,False,True,,False,198.0,Trevor Lawrence,-85.0
114,8,Jayden Reed,GB,WR49,5,Coach Upside rating,Coach Bust rating,2 out of 5 stars,+7,jayden reed,jayden reed,10222,Jayden Reed,Jayden,Reed,WR,GB,,['WR'],True,Active,25.0,71,187.0,Michigan State,2.0,Questionable,,Foot,,,,,,2000-04-28,,jayden reed,False,False,,False,107.0,Jayden Reed,7.0
115,8,Austin Ekeler,WAS,RB36,12,Coach Upside rating,Coach Bust rating,2 out of 5 stars,-1,austin ekeler,austin ekeler,4663,Austin Ekeler,Austin,Ekeler,RB,WAS,,['RB'],True,Active,30.0,70,200.0,Western Colorado,8.0,,,,,,,,,1995-05-17,,austin ekeler,False,False,,False,91.0,Austin Ekeler,24.0
116,8,C.J. Stroud,HOU,QB19,6,Coach Upside rating,Coach Bust rating,3 out of 5 stars,+10,c.j. stroud,c.j. stroud,9758,C.J. Stroud,C.J.,Stroud,QB,HOU,,['QB'],True,Active,23.0,75,218.0,Ohio State,2.0,,,,,,,,,2001-10-03,,c.j. stroud,False,True,,False,145.0,C.J. Stroud,-29.0
117,8,J.J. McCarthy,MIN,QB20,6,Coach Upside rating,Coach Bust rating,2 out of 5 stars,+25,j.j. mccarthy,j.j. mccarthy,11565,J.J. McCarthy,J.J.,McCarthy,QB,MIN,,['QB'],True,Active,22.0,75,219.0,Michigan,1.0,,,,,,,,,2003-01-20,,j.j. mccarthy,False,True,,False,124.0,J.J. McCarthy,-7.0
118,8,Rhamondre Stevenson,NE,RB37,14,Coach Upside rating,Coach Bust rating,4 out of 5 stars,-5,rhamondre stevenson,rhamondre stevenson,7611,Rhamondre Stevenson,Rhamondre,Stevenson,RB,NE,,['RB'],True,Active,27.0,72,227.0,Oklahoma,4.0,Questionable,,Undisclosed,,,,,,1998-02-23,,rhamondre stevenson,False,False,,False,94.0,Rhamondre Stevenson,24.0
119,9,Darnell Mooney,ATL,WR50,5,Coach Upside rating,Coach Bust rating,3 out of 5 stars,+17,darnell mooney,darnell mooney,7090,Darnell Mooney,Darnell,Mooney,WR,ATL,,['WR'],True,Active,27.0,71,180.0,Tulane,5.0,Questionable,,Undisclosed,,,,,,1997-10-29,,darnell mooney,False,False,,False,109.0,Darnell Mooney,10.0
120,9,Dalton Kincaid,BUF,TE13,7,Coach Upside rating,Coach Bust rating,3 out of 5 stars,+3,dalton kincaid,dalton kincaid,10236,Dalton Kincaid,Dalton,Kincaid,TE,BUF,,['TE'],True,Active,25.0,76,240.0,Utah,2.0,,,,,,,,,1999-10-18,,dalton kincaid,False,False,,False,129.0,Dalton Kincaid,-9.0
121,9,Keon Coleman,BUF,WR51,7,Coach Upside rating,Coach Bust rating,3 out of 5 stars,-4,keon coleman,keon coleman,11637,Keon Coleman,Keon,Coleman,WR,BUF,,['WR'],True,Active,22.0,76,215.0,Florida State,1.0,,,,,,,,,2003-05-17,,keon coleman,False,False,,False,102.0,Keon Coleman,19.0
122,9,Tank Bigsby,JAC,RB38,8,Coach Upside rating,Coach Bust rating,2 out of 5 stars,+6,tank bigsby,tank bigsby,9225,Tank Bigsby,Tank,Bigsby,RB,JAX,,['RB'],True,Active,23.0,71,215.0,Auburn,2.0,,,,,,,,,2002-08-30,,tank bigsby,False,False,,False,117.0,Tank Bigsby,5.0
123,9,Cam Skattebo,NYG,RB39,14,Coach Upside rating,Coach Bust rating,3 out of 5 stars,-25,cam skattebo,cam skattebo,12481,Cam Skattebo,Cam,Skattebo,RB,NYG,,['RB'],True,Active,23.0,71,215.0,Arizona State,0.0,,,,,,,,,2002-02-05,,cam skattebo,True,False,,False,114.0,Cam Skattebo,9.0
124,9,Christian Kirk,HOU,WR52,6,Coach Upside rating,Coach Bust rating,4 out of 5 stars,+25,christian kirk,christian kirk,4950,Christian Kirk,Christian,Kirk,WR,HOU,,['WR'],True,Active,28.0,71,200.0,Texas A&M,7.0,,,,,,,,,1996-11-18,,christian kirk,False,False,,False,154.0,Christian Kirk,-30.0
125,9,Colston Loveland,CHI,TE14,5,Coach Upside rating,Coach Bust rating,4 out of 5 stars,-10,colston loveland,colston loveland,12517,Colston Loveland,Colston,Loveland,TE,CHI,,['TE'],True,Active,21.0,78,241.0,Michigan,0.0,,,,,,,,,2004-04-09,,colston loveland,True,False,,False,125.0,Colston Loveland,0.0
126,9,Rashid Shaheed,NO,WR53,11,Coach Upside rating,Coach Bust rating,4 out of 5 stars,+18,rashid shaheed,rashid shaheed,8676,Rashid Shaheed,Rashid,Shaheed,WR,NO,,['WR'],True,Active,26.0,72,180.0,Weber State,3.0,,,,,,,,,1998-08-31,,rashid shaheed,False,True,,False,111.0,Rashid Shaheed,15.0
127,9,Dallas Goedert,PHI,TE15,9,Coach Upside rating,Coach Bust rating,3 out of 5 stars,+13,dallas goedert,dallas goedert,5022,Dallas Goedert,Dallas,Goedert,TE,PHI,,['TE'],True,Active,30.0,77,256.0,South Dakota State,7.0,Questionable,,Groin,,,,,,1995-01-03,,dallas goedert,False,False,,False,127.0,Dallas Goedert,0.0
128,9,Rachaad White,TB,RB40,9,Coach Upside rating,Coach Bust rating,3 out of 5 stars,+11,rachaad white,rachaad white,8136,Rachaad White,Rachaad,White,RB,TB,,['RB'],True,Active,26.0,72,214.0,Arizona State,3.0,Questionable,,Groin,,,,,,1999-01-12,,rachaad white,False,False,,False,119.0,Rachaad White,9.0
129,9,Braelon Allen,NYJ,RB41,9,Coach Upside rating,Coach Bust rating,5 out of 5 stars,+12,braelon allen,braelon allen,11576,Braelon Allen,Braelon,Allen,RB,NYJ,,['RB'],True,Active,21.0,73,235.0,Wisconsin,1.0,,,,,,,,,2004-01-20,,braelon allen,False,False,,False,135.0,Braelon Allen,-6.0
130,9,Brandon Aiyuk,SF,WR54,14,Coach Upside rating,Coach Bust rating,4 out of 5 stars,+15,brandon aiyuk,brandon aiyuk,6803,Brandon Aiyuk,Brandon,Aiyuk,WR,SF,,['WR'],True,Active,27.0,72,200.0,Arizona State,5.0,PUP,Surgery,Knee - ACL + MCL,,,,,,1998-03-17,,brandon aiyuk,False,False,,False,140.0,Brandon Aiyuk,-10.0
131,9,Tua Tagovailoa,MIA,QB21,12,Coach Upside rating,Coach Bust rating,5 out of 5 stars,+38,tua tagovailoa,tua tagovailoa,6768,Tua Tagovailoa,Tua,Tagovailoa,QB,MIA,,['QB'],True,Active,27.0,73,225.0,Alabama,5.0,,,,,,,,,1998-03-02,,tua tagovailoa,False,False,,False,143.0,Tua Tagovailoa,-12.0
132,9,Najee Harris,LAC,RB42,12,Coach Upside rating,Coach Bust rating,2 out of 5 stars,-2,najee harris,najee harris,7528,Najee Harris,Najee,Harris,RB,LAC,,['RB'],True,Active,27.0,73,242.0,Alabama,4.0,Questionable,,Eye,,,,,,1998-03-09,,najee harris,False,False,,False,147.0,Najee Harris,-15.0
133,9,Bryce Young,CAR,QB22,14,Coach Upside rating,Coach Bust rating,3 out of 5 stars,+50,bryce young,bryce young,9228,Bryce Young,Bryce,Young,QB,CAR,,['QB'],True,Active,24.0,70,204.0,Alabama,2.0,,,,,,,,,2001-07-25,,bryce young,False,False,,False,218.0,Bryce Young,-85.0
134,9,Cedric Tillman,CLE,WR55,9,Coach Upside rating,Coach Bust rating,2 out of 5 stars,+57,cedric tillman,cedric tillman,10444,Cedric Tillman,Cedric,Tillman,WR,CLE,,['WR'],True,Active,25.0,75,215.0,Tennessee,2.0,,,,,,,,,2000-04-19,,cedric tillman,False,True,,False,138.0,Cedric Tillman,-4.0
135,9,Luther Burden III,CHI,WR56,5,Coach Upside rating,Coach Bust rating,2 out of 5 stars,+31,luther burden,luther burden,12519,Luther Burden,Luther,Burden,WR,CHI,,['WR'],True,Active,21.0,72,210.0,Missouri,0.0,,,,,,,,,2003-12-12,,luther burden,True,True,,False,157.0,Luther Burden III,-22.0
136,9,Trey Benson,ARI,RB43,8,Coach Upside rating,Coach Bust rating,3 out of 5 stars,+18,trey benson,trey benson,11589,Trey Benson,Trey,Benson,RB,ARI,,['RB'],True,Active,23.0,72,220.0,Florida State,1.0,,,,,,,,,2002-07-23,,trey benson,False,False,,False,130.0,Trey Benson,6.0
137,9,Marvin Mims Jr.,DEN,WR57,12,Coach Upside rating,Coach Bust rating,3 out of 5 stars,+15,marvin mims,marvin mims,9494,Marvin Mims,Marvin,Mims,WR,DEN,,['WR'],True,Active,23.0,71,182.0,Oklahoma,2.0,Questionable,,Groin,,,,,,2002-03-19,,marvin mims,False,False,,True,153.0,Marvin Mims Jr.,-16.0
138,9,Michael Penix Jr.,ATL,QB23,5,Coach Upside rating,Coach Bust rating,4 out of 5 stars,+43,michael penix,michael penix,11559,Michael Penix,Michael,Penix,QB,ATL,,['QB'],True,Active,25.0,75,220.0,Washington,1.0,,,,,,,,,2000-05-08,,michael penix,False,False,,False,200.0,Michael Penix Jr.,-62.0
139,9,Hunter Henry,NE,TE16,14,Coach Upside rating,Coach Bust rating,3 out of 5 stars,+19,hunter henry,hunter henry,3214,Hunter Henry,Hunter,Henry,TE,NE,,['TE'],True,Active,30.0,77,249.0,Arkansas,9.0,,,,,,,,,1994-12-07,,hunter henry,False,False,,False,141.0,Hunter Henry,-2.0
140,9,Joe Mixon,HOU,RB44,6,Coach Upside rating,Coach Bust rating,2 out of 5 stars,-38,joe mixon,joe mixon,4018,Joe Mixon,Joe,Mixon,RB,HOU,,['RB'],True,Active,29.0,73,220.0,Oklahoma,8.0,PUP,,Ankle,,,,,,1996-07-24,,joe mixon,False,False,,False,92.0,Joe Mixon,48.0
141,9,Rashod Bateman,BAL,WR58,7,Coach Upside rating,Coach Bust rating,3 out of 5 stars,+29,rashod bateman,rashod bateman,7571,Rashod Bateman,Rashod,Bateman,WR,BAL,,['WR'],True,Active,25.0,73,193.0,Minnesota,4.0,,,,,,,,,1999-11-29,,rashod bateman,False,False,,False,155.0,Rashod Bateman,-14.0
142,9,Ray Davis,BUF,RB45,7,Coach Upside rating,Coach Bust rating,4 out of 5 stars,+29,ray davis,ray davis,11575,Ray Davis,Ray,Davis,RB,BUF,,['RB'],True,Active,25.0,68,220.0,Kentucky,1.0,,,,,,,,,1999-11-11,,ray davis,False,False,,False,149.0,Ray Davis,-7.0
143,9,Brian Robinson Jr.,SF,RB46,14,Coach Upside rating,Coach Bust rating,3 out of 5 stars,-23,brian robinson,brian robinson,8154,Brian Robinson,Brian,Robinson,RB,SF,,['RB'],True,Active,26.0,73,225.0,Alabama,3.0,,,,,,,,,1999-03-22,,brian robinson,False,False,,True,160.0,Brian Robinson Jr.,-17.0
144,9,Kyle Pitts Sr.,ATL,TE17,5,Coach Upside rating,Coach Bust rating,3 out of 5 stars,-13,kyle pitts,kyle pitts,7553,Kyle Pitts,Kyle,Pitts,TE,ATL,,['TE'],True,Active,24.0,78,250.0,Florida,4.0,,,,,,,,,2000-10-06,,kyle pitts,False,False,,False,142.0,Kyle Pitts Sr.,2.0
145,9,Quinshon Judkins,CLE,RB47,9,Coach Upside rating,Coach Bust rating,4 out of 5 stars,-29,quinshon judkins,quinshon judkins,12512,Quinshon Judkins,Quinshon,Judkins,RB,CLE,,['RB'],True,Active,21.0,71,221.0,Ohio State,0.0,,,,,,,,,2003-10-29,,quinshon judkins,True,False,,False,120.0,Quinshon Judkins,25.0
146,9,Jayden Higgins,HOU,WR59,6,Coach Upside rating,Coach Bust rating,4 out of 5 stars,+2,jayden higgins,jayden higgins,12484,Jayden Higgins,Jayden,Higgins,WR,HOU,,['WR'],True,Active,22.0,76,215.0,Iowa State,0.0,,,,,,,,,2002-12-15,,jayden higgins,True,False,,True,112.0,Jayden Higgins,34.0
147,9,Jaydon Blue,DAL,RB48,10,Coach Upside rating,Coach Bust rating,2 out of 5 stars,-9,jaydon blue,jaydon blue,12457,Jaydon Blue,Jaydon,Blue,RB,DAL,,['RB'],True,Active,21.0,69,196.0,Texas,0.0,Questionable,,Ankle,,,,,,2004-01-08,,jaydon blue,True,True,,False,132.0,Jaydon Blue,15.0
148,9,Geno Smith,LV,QB24,8,Coach Upside rating,Coach Bust rating,3 out of 5 stars,+41,geno smith,geno smith,1373,Geno Smith,Geno,Smith,QB,LV,,['QB'],True,Active,34.0,75,221.0,West Virginia,12.0,,,,,,,,,1990-10-10,,geno smith,False,False,,False,219.0,Geno Smith,-71.0
149,9,Jerome Ford,CLE,RB49,9,Coach Upside rating,Coach Bust rating,4 out of 5 stars,+8,jerome ford,jerome ford,8143,Jerome Ford,Jerome,Ford,RB,CLE,,['RB'],True,Active,25.0,70,210.0,Cincinnati,3.0,,,,,,,,,1999-09-12,,jerome ford,False,False,Dylan Sampson,False,146.0,Jerome Ford,3.0
150,9,Tyjae Spears,TEN,RB50,10,Coach Upside rating,Coach Bust rating,2 out of 5 stars,+18,tyjae spears,tyjae spears,9508,Tyjae Spears,Tyjae,Spears,RB,TEN,,['RB'],True,Inactive,24.0,71,195.0,Tulane,2.0,IR,,Lower Leg,,,,,,2001-06-15,,tyjae spears,False,False,,False,116.0,Tyjae Spears,34.0
151,9,Bhayshul Tuten,JAC,RB51,8,Coach Upside rating,Coach Bust rating,2 out of 5 stars,0,bhayshul tuten,bhayshul tuten,12490,Bhayshul Tuten,Bhayshul,Tuten,RB,JAX,,['RB'],True,Active,23.0,69,209.0,Virginia Tech,0.0,,,,,,,,,2002-02-14,,bhayshul tuten,True,False,,False,148.0,Bhayshul Tuten,3.0
152,9,Matthew Stafford,LAR,QB25,8,Coach Upside rating,Coach Bust rating,3 out of 5 stars,+25,matthew stafford,matthew stafford,421,Matthew Stafford,Matthew,Stafford,QB,LAR,,['QB'],True,Active,37.0,75,214.0,Georgia,16.0,,,,,,,,,1988-02-07,,matthew stafford,False,False,,False,144.0,Matthew Stafford,8.0
153,9,Nick Chubb,HOU,RB52,6,Coach Upside rating,Coach Bust rating,2 out of 5 stars,-21,nick chubb,nick chubb,4988,Nick Chubb,Nick,Chubb,RB,HOU,,['RB'],True,Active,29.0,71,227.0,Georgia,7.0,,,,,,,,,1995-12-27,,nick chubb,False,False,Dameon Pierce,False,151.0,Nick Chubb,2.0
154,10,Dylan Sampson,CLE,RB53,9,Coach Upside rating,Coach Bust rating,4 out of 5 stars,+25,dylan sampson,dylan sampson,12469,Dylan Sampson,Dylan,Sampson,RB,CLE,,['RB'],True,Active,20.0,68,200.0,Tennessee,0.0,,,,,,,,,2004-09-14,,dylan sampson,True,False,,True,196.0,Dylan Sampson,-42.0
